Gene,log2FoldChange,pvalue,padj
Lrp3,-0.105,0.162,0.582
Folr1,0.383,0.591,0.888
Clpb,-0.0194,0.713,0.925
Septin7,-0.112,0.00104,0.0506
Zdhhc4,0.0483,0.583,0.884
Rac1,-0.055,0.0385,0.329
Nup214,0.12,0.0639,0.405
Aif1l,-0.353,0.0594,0.393
Cpa3,-0.257,0.425,0.803
Ltbp1,0.145,0.0134,0.203
Ugp2,-0.102,0.276,0.699
Kcnh6,-0.375,0.508,0.845
Trmt1,0.0494,0.399,0.786
Nacc1,0.0371,0.566,0.876
Nfix,0.245,0.000259,0.0232
Slc1a5,-0.422,0.0412,0.338
Uba1,0.121,0.016,0.22
Vwf,-0.189,0.117,0.516
Siae,-0.00194,0.974,0.994
Vsig2,-0.365,0.0428,0.342
Esam,-0.025,0.73,0.931
Spa17,0.143,0.323,0.735
Fam50a,-0.058,0.346,0.752
Emd,-0.0015,0.98,0.995
Taco1,0.053,0.504,0.843
Grik3,-0.155,0.622,0.899
Gria3,-0.0127,0.945,0.986
Npas1,0.369,0.508,0.845
Sipa1l2,0.216,0.000306,0.0257
Ap4e1,-0.0273,0.723,0.928
Blvra,-0.134,0.189,0.615
Pdzd4,0.0898,0.521,0.853
Srpk3,0.0686,0.345,0.752
Idh3g,0.1,0.00693,0.145
Pnck,-0.078,0.477,0.831
Ssr4,-0.0165,0.789,0.949
Bcap31,-0.0456,0.334,0.744
Fam98a,0.0288,0.518,0.851
Ltbp2,-0.126,0.685,0.917
Kmt2a,0.0987,0.114,0.51
Ift46,0.0858,0.313,0.726
Tmem25,0.0951,0.316,0.728
Cd3g,-1.05,0.253,0.68
Trappc6a,-0.196,0.113,0.508
Supt6,0.0573,0.262,0.689
Spag5,-0.783,0.0318,0.302
Unc119,-0.197,0.109,0.504
Rab34,-0.177,0.227,0.657
Sdf2,0.0128,0.835,0.962
Ccne1,-0.579,0.0135,0.203
Hsf2bp,-0.133,0.749,0.937
Bbc3,0.219,0.1,0.487
Mybpc3,0.0329,0.583,0.883
Psmc3,0.059,0.0627,0.402
Acp2,0.0374,0.468,0.826
Rapsn,0.171,0.0187,0.237
Slc39a13,0.0693,0.283,0.704
Celf2,-0.0367,0.498,0.841
Nr1h3,-0.187,0.0286,0.288
Ddb2,0.0712,0.594,0.889
Spi1,-0.0278,0.882,0.971
Sf3a1,0.0019,0.976,0.994
Stat6,0.0635,0.206,0.634
Clgn,0.591,0.493,0.839
Napsa,-1.04,0.0959,0.479
Vrk3,-0.0264,0.643,0.906
Smg9,0.0844,0.266,0.69
Paxip1,-0.157,0.0144,0.21
Rmnd5a,-0.00111,0.982,0.995
Mov10,-0.0615,0.567,0.876
Ppm1j,0.0693,0.389,0.781
Rhoc,0.0163,0.821,0.958
Tead3,0.0933,0.15,0.563
Ppard,0.061,0.288,0.71
Def6,-0.514,0.0117,0.187
Peg3,-0.0691,0.623,0.899
Zim1,0.000736,0.996,0.999
Metrn,-0.21,0.0133,0.203
Lmf1,0.0537,0.417,0.797
Ciao3,0.0238,0.616,0.898
Angptl4,-1.36,0.00228,0.0804
Dbf4,-0.281,0.182,0.608
Daxx,-0.0499,0.459,0.823
Cd320,-0.0573,0.444,0.815
Ipo4,0.192,0.00938,0.169
Tm9sf1,0.0498,0.258,0.686
Rec8,-0.818,0.041,0.337
Irf9,-0.13,0.176,0.6
Gmpr2,-0.0068,0.957,0.99
Mdp1,0.103,0.148,0.562
Dhrs1,-0.0654,0.349,0.755
Tmem161a,0.151,0.00143,0.0606
Armc6,0.221,0.0152,0.215
Borcs8,0.0402,0.623,0.899
Slc25a42,0.0219,0.859,0.966
Snx9,-0.00096,0.983,0.995
Ranbp3,0.00449,0.931,0.984
Ndufa11,0.0147,0.801,0.952
Nr2f6,0.129,0.0578,0.39
Use1,-0.0396,0.47,0.827
Ocel1,0.0388,0.589,0.886
Dyrk1b,-0.0221,0.765,0.942
Braf,0.112,0.102,0.49
Ndufb2,0.0347,0.582,0.883
Hltf,-0.0844,0.182,0.607
Prpf6,0.0511,0.269,0.694
Rgs19,-0.346,0.031,0.299
Abhd3,-0.155,0.223,0.653
Snrpd1,0.0051,0.949,0.988
Tchp,0.0824,0.402,0.788
Tiam1,0.0557,0.648,0.907
Tsc2,0.138,0.00601,0.134
Rpl3l,-0.0449,0.59,0.887
Nherf2,-0.0000595,0.999,1
Puf60,0.14,0.000644,0.0377
Golga2,0.103,0.00906,0.166
Uck1,-0.186,0.19,0.616
Scin,-0.0991,0.501,0.842
Ikzf4,-0.273,0.257,0.685
Mien1,-0.0374,0.571,0.877
Pon1,-1.42,0.0651,0.408
Axl,0.0486,0.446,0.816
Tgfb1,-0.102,0.33,0.74
Ccdc97,0.0726,0.19,0.616
Zfp40,-0.0957,0.492,0.838
Akap8l,0.0711,0.286,0.708
Pdcd2l,0.0687,0.37,0.769
Gtf2f1,-0.069,0.366,0.767
Clpp,0.0532,0.308,0.723
Alkbh7,-0.0146,0.892,0.974
Dennd1c,-0.578,0.0319,0.302
Med6,-0.0123,0.901,0.977
Prkd1,-0.0346,0.767,0.943
Lcp2,-0.725,0.00836,0.159
Cse1l,0.0239,0.611,0.897
Naa20,0.0402,0.573,0.878
Prkra,-0.169,0.0397,0.332
Fkbp7,-0.116,0.108,0.501
Plekha3,-0.0832,0.0941,0.475
Ykt6,-0.0542,0.253,0.681
Baz1b,0.0897,0.0203,0.247
Pex6,0.12,0.00827,0.158
Mrpl2,0.0375,0.465,0.825
Mea1,0.00207,0.971,0.993
Gnmt,-0.00267,0.989,0.996
Grin2d,-0.403,0.0339,0.31
Kdelr1,0.00759,0.837,0.962
Tmem143,0.0492,0.239,0.668
Ggct,-0.173,0.0426,0.342
Jag2,-0.00589,0.942,0.986
Btbd6,0.0278,0.61,0.897
Nudt14,-0.314,0.0389,0.33
Epdr1,-0.204,0.0403,0.334
Flii,0.0836,0.0874,0.46
Top3a,-0.0191,0.886,0.972
Atg4d,0.058,0.414,0.795
Qtrt1,0.108,0.329,0.739
Plin4,0.041,0.777,0.946
Hdgfl2,0.118,0.0314,0.301
Chaf1a,0.0268,0.804,0.953
Adprh,0.106,0.0176,0.23
Tmem39a,0.0789,0.288,0.71
Timmdc1,-0.0254,0.714,0.925
Pla1a,-0.237,0.0221,0.257
Mcm2,-0.302,0.0342,0.312
Tpra1,-0.0348,0.498,0.841
Nab1,0.171,0.154,0.57
Adgre5,-0.0159,0.751,0.937
Il17ra,-0.35,0.072,0.427
Lamb1,0.0108,0.87,0.968
Kcnn1,0.0448,0.536,0.86
Arrdc2,-0.526,0.152,0.568
Cd36,-0.067,0.325,0.735
Map2k7,0.0338,0.419,0.798
Timm44,0.0826,0.203,0.632
Ap2a2,0.0802,0.0771,0.438
Pnkp,0.045,0.489,0.837
Med25,0.153,0.000799,0.0432
Bcam,0.16,0.00466,0.116
Clptm1,0.0174,0.613,0.897
Relb,-0.0613,0.727,0.93
Tomm40,0.0944,0.0509,0.369
Apoe,-0.169,0.074,0.431
Hbp1,-0.101,0.0907,0.467
Prkar2b,-2.08,0.00303,0.0958
Cdkn1b,0.0905,0.157,0.575
Klf4,-0.142,0.345,0.751
Ap1m1,-0.0236,0.546,0.866
Rab8a,-0.0692,0.166,0.587
Hmgn2,-0.0288,0.644,0.906
Fam32a,-0.053,0.313,0.725
Elf3,1.91,0.36,0.763
Stard3nl,-0.0758,0.32,0.731
Stk11,0.11,0.0116,0.187
Efna2,-0.283,0.108,0.501
Atp5d,0.0893,0.14,0.552
Ppp5c,0.0411,0.393,0.782
Cdk12,-0.00217,0.974,0.994
Lipe,-0.458,0.0297,0.293
Pafah1b2,-0.0898,0.0202,0.246
Tbc1d8,-0.0815,0.436,0.81
Cnot11,0.0696,0.17,0.593
Slc2a3,-0.189,0.359,0.762
Foxj2,0.203,0.000472,0.0334
Sri,-0.107,0.0304,0.297
Dgcr2,0.129,0.00437,0.113
Irf3,0.00397,0.948,0.987
Bcl2l12,0.119,0.217,0.647
Zfp959,-0.152,0.247,0.673
Mpnd,-0.0689,0.147,0.56
Sh3gl1,-0.0881,0.166,0.587
Ebi3,-0.442,0.213,0.642
Yju2,0.0697,0.476,0.83
Ranbp2,-0.0216,0.813,0.956
Edar,0.0842,0.805,0.953
Grk5,-0.0412,0.715,0.925
Dvl3,0.145,0.00119,0.0542
Abcf3,0.0126,0.777,0.946
Eif2b5,0.0823,0.0293,0.29
Cyth2,0.0561,0.302,0.719
Car11,-0.0252,0.821,0.958
Dlgap1,0.0347,0.917,0.981
Plag1,-0.0138,0.947,0.987
Hck,-0.117,0.708,0.924
Mrpl4,0.0597,0.195,0.621
Keap1,-0.0267,0.572,0.878
Glg1,0.158,0.000453,0.0329
Btbd2,0.112,0.0158,0.219
Csnk1g2,0.0364,0.208,0.637
Abhd17a,0.0251,0.599,0.892
Mob3a,-0.132,0.386,0.78
Cacnb3,-0.141,0.335,0.744
Ccdc65,-0.467,0.323,0.735
Fkbp11,0.0108,0.954,0.989
Ddx23,0.0654,0.0479,0.359
Pld3,-0.00558,0.928,0.983
Grik5,0.0991,0.231,0.661
Cd79a,-2.83,0.00319,0.0967
Rabac1,0.101,0.00305,0.0958
Etv3,-0.069,0.193,0.618
Prkcsh,0.138,0.00638,0.138
Elavl3,0.705,0.251,0.678
Rab3b,-0.161,0.619,0.898
St8sia6,-0.288,0.152,0.567
Fcgrt,-0.0325,0.441,0.813
Nosip,0.015,0.761,0.941
Pih1d1,0.0261,0.719,0.927
Rps11,-0.0468,0.299,0.717
Supt5,0.0591,0.195,0.62
Paf1,-0.0165,0.729,0.931
Timm50,0.038,0.443,0.814
Med29,0.0439,0.568,0.876
Bicd1,-0.146,0.234,0.664
Ncstn,0.021,0.56,0.872
Pex19,0.0153,0.698,0.921
Phyhip,0.264,0.00745,0.15
Crhr2,0.0866,0.294,0.714
Inmt,-0.26,0.141,0.552
Cyp4f18,-0.179,0.631,0.901
Impdh1,-0.0614,0.472,0.828
Dusp3,-0.14,0.0134,0.203
Prodh,0.19,0.119,0.52
Ess2,0.0857,0.27,0.694
Slc25a1,-0.717,0.139,0.55
Dgcr6,0.119,0.0894,0.464
Ddr1,0.0262,0.767,0.943
Ier3,0.327,0.00013,0.0149
Fosb,-0.242,0.649,0.908
Klc4,0.111,0.0403,0.334
Ercc1,0.0761,0.314,0.727
As3mt,0.0518,0.342,0.749
Homer3,-0.0381,0.687,0.917
Crtc1,0.2,0.0118,0.189
Rnf215,-0.202,0.0226,0.259
Sec14l2,-0.715,0.0568,0.387
Aven,0.0497,0.621,0.898
Cp,-0.496,0.0000432,0.00703
Crot,-0.118,0.0224,0.258
Rps6ka1,-0.301,0.0267,0.28
Snrnp200,0.0868,0.111,0.506
Ciao1,-0.0286,0.588,0.886
Has1,-0.167,0.715,0.925
Taf6l,0.0807,0.556,0.87
Insig2,-0.0106,0.845,0.964
Kpna6,0.0113,0.8,0.952
Man1a,-0.188,0.00276,0.091
Itpkc,0.082,0.51,0.846
Coq8b,0.0367,0.666,0.911
Brd8,-0.0299,0.611,0.897
Kif20a,-0.342,0.119,0.521
Farsa,0.0549,0.416,0.797
Gcdh,0.0313,0.56,0.872
Mast2,0.144,0.0304,0.297
Dnase2a,-0.11,0.27,0.694
Rad23a,0.0797,0.0465,0.355
Calr,0.134,0.12,0.522
Syce2,-0.732,0.0453,0.35
Nfat5,0.0176,0.861,0.967
Nob1,0.119,0.0675,0.415
Nqo1,-0.1,0.335,0.744
Ppfia3,-0.277,0.521,0.853
Gys1,0.107,0.0962,0.479
Ruvbl2,0.124,0.0325,0.304
Lin7b,0.306,0.381,0.776
Bax,0.0376,0.543,0.864
Il7r,-1.71,0.01,0.175
Tfam,-0.0916,0.139,0.551
Zfp81,-0.00549,0.955,0.99
Efnb3,0.0723,0.234,0.664
Mmd,-0.148,0.201,0.63
Hlf,0.0732,0.132,0.54
Fam162a,-0.00118,0.985,0.996
Rpl8,0.00504,0.915,0.98
Ssbp2,0.0679,0.359,0.762
Fancl,-0.16,0.321,0.733
Brinp2,-0.0688,0.888,0.973
Gstm5,-0.0802,0.159,0.577
Gstm7,0.0867,0.202,0.631
Stat3,-0.0218,0.658,0.91
Stat5a,-0.0185,0.884,0.971
Cavin1,-0.0435,0.435,0.809
Map3k11,0.0153,0.839,0.963
Akt2,0.0294,0.265,0.69
Dnaja3,0.0333,0.486,0.835
Hmox2,0.00962,0.864,0.967
Cdip1,0.176,0.000114,0.0134
Map3k20,0.167,0.00115,0.0532
Cwc15,-0.01,0.857,0.966
Col5a3,0.00911,0.938,0.985
Dnmt1,0.0258,0.692,0.919
Ppan,-0.0735,0.56,0.872
Angptl2,0.029,0.637,0.904
Cacna1e,-1.64,0.0164,0.223
Cacna1b,-0.739,0.0852,0.456
Trmt10a,0.039,0.814,0.956
Etv1,-0.158,0.0756,0.435
Kifc2,0.108,0.26,0.687
Psap,0.0593,0.0918,0.469
Ikbkg,0.00103,0.982,0.995
Wars2,-0.111,0.224,0.654
Atn1,0.0799,0.484,0.834
Phb2,0.133,0.000251,0.023
Ptpn6,-0.475,0.0893,0.464
Eno2,-0.47,0.0327,0.305
Emg1,0.116,0.0152,0.215
Lpcat3,0.107,0.185,0.611
Atp6v1f,-0.00184,0.97,0.993
Clcn5,-0.0141,0.92,0.982
Clcn3,0.115,0.0783,0.441
Hif3a,-0.706,0.0122,0.192
Pde1c,-0.184,0.028,0.286
Utp20,0.0524,0.45,0.818
Spic,-1.14,0.102,0.49
9330159F19Rik,-0.484,0.164,0.584
Cul3,0.0356,0.391,0.781
Large1,0.0438,0.474,0.828
Ddx56,-0.105,0.162,0.582
Tmed4,-0.0465,0.411,0.794
Col26a1,0.303,0.46,0.823
Bid,-0.201,0.515,0.85
Ralb,-0.0381,0.469,0.827
Ppp1cc,0.0377,0.378,0.775
Dnajb11,0.0454,0.377,0.775
Tbccd1,0.0118,0.884,0.971
Clec11a,0.0305,0.877,0.97
Zfp324,-0.0742,0.52,0.852
Gab2,0.0751,0.407,0.791
Coro1c,0.013,0.827,0.96
Tax1bp1,-0.0683,0.0935,0.473
Ctse,-0.994,0.256,0.684
Ndrg2,0.135,0.00236,0.0818
Mettl17,0.157,0.0782,0.441
Arhgef40,0.109,0.112,0.507
Pnpla6,0.0887,0.241,0.669
Mcoln1,0.0574,0.27,0.694
Arhgef18,0.0219,0.774,0.945
Pkn2,-0.0404,0.459,0.823
Cd33,-0.148,0.308,0.723
Etfb,0.179,0.00000319,0.00116
Nkg7,-0.683,0.404,0.79
Stxbp2,-0.315,0.102,0.49
Sgce,-0.0943,0.142,0.554
Chn2,-0.421,0.00286,0.0927
Wwox,-0.0002,0.999,1
Slbp,-0.137,0.102,0.49
Aqp1,-0.103,0.373,0.771
Arid3b,-0.192,0.241,0.669
Cnn2,-0.173,0.104,0.493
Polr2e,0.0877,0.098,0.483
Myo9b,0.0406,0.551,0.868
Hdac9,0.267,0.0208,0.25
Ly9,-1.19,0.0083,0.158
Cd244a,-0.000149,1,1
Adgre1,-0.208,0.178,0.603
Mtfp1,0.0105,0.894,0.975
Rab23,0.0091,0.918,0.981
Rab11a,-0.0535,0.188,0.614
Eif2b2,0.0669,0.177,0.601
Dlst,0.0525,0.319,0.731
Pgf,-0.0867,0.568,0.876
Ulk2,-0.0551,0.267,0.692
Ccl24,-0.0728,0.746,0.936
Dgkq,-0.0351,0.721,0.928
Grap,-0.182,0.0595,0.393
Chmp2b,0.0142,0.775,0.945
Plod3,0.0784,0.203,0.631
Ap1s1,0.00614,0.922,0.982
Mapk13,-0.0859,0.913,0.98
Srpk1,-0.0202,0.747,0.937
Pax3,0.236,0.774,0.945
Lbr,0.0162,0.798,0.952
Nes,0.125,0.355,0.76
Bcan,0.416,0.422,0.8
Prcc,0.136,0.00189,0.0716
Rrnad1,0.0667,0.492,0.838
Hdgf,0.0276,0.414,0.795
Slc25a18,-0.0775,0.917,0.981
Thop1,0.0395,0.555,0.87
Apba3,0.0891,0.0708,0.424
Matk,-0.374,0.224,0.654
Pias4,0.0934,0.0871,0.459
Map2k1,0.044,0.348,0.754
Sgta,0.0227,0.517,0.851
Nmrk2,0.0528,0.838,0.962
Tmem242,0.0232,0.704,0.924
Dtx2,-0.0238,0.776,0.945
Hspb1,0.00751,0.934,0.984
Rasa4,-0.117,0.319,0.731
Syt5,-0.755,0.0729,0.428
Hnrnpa2b1,0.055,0.177,0.601
Ccdc130,0.0469,0.68,0.916
Mri1,-0.0349,0.722,0.928
Prkacb,0.0149,0.627,0.9
Sgsh,-0.0991,0.269,0.694
Chd5,-0.491,0.165,0.586
Cstb,-0.131,0.14,0.552
Sh2b2,-1.7,0.00563,0.129
Pex5,0.00312,0.95,0.988
Jkamp,-0.0036,0.954,0.989
Cd44,-0.364,0.0134,0.203
Slc1a2,-0.629,0.0561,0.385
Eif2ak4,0.0368,0.684,0.916
Wdr1,0.0764,0.07,0.421
Slc2a9,0.269,0.314,0.726
Ccn4,-0.0732,0.67,0.912
Ndrg1,-0.0696,0.426,0.804
4930550C14Rik,0.109,0.821,0.958
Man2b1,-0.119,0.0321,0.303
Klf5,-0.032,0.906,0.978
Wdr83,0.0932,0.14,0.551
Prdx2,0.0741,0.0183,0.235
Polr2a,-0.0722,0.374,0.773
Senp3,-0.00403,0.929,0.984
Corin,-0.149,0.0783,0.441
Plekha8,0.00914,0.91,0.98
Spc25,-0.474,0.114,0.511
Dnah2,-0.165,0.537,0.861
Ripk4,-0.801,0.0626,0.401
Ufd1,0.0326,0.454,0.82
Zfp287,0.171,0.201,0.63
